position,company,description,numreview,city,state
Machine Learning Research Engineer,Arm,"The Arm Research machine learning research group in Boston collaborates with product teams to deliver industry leading hardware and software solutions to Arm’s partners. We, the Boston team, also work closely with the leading academic machine learning groups in the Boston area to ensure that the latest developments inform new and existing Arm products, from IoT and mobile devices through to automotive and enterprise systems.

We are looking to add extraordinary researchers to the Boston Machine Learning research group. You will have the opportunity to influence real products through leading-edge research. You will also be afforded the freedom to develop new skills, collaborate with academic partners and publish your research.

We are a team whose architecture and systems research activities cover a wide range of disciplines including mobile and laptop personal computing platforms and applications; server, cloud, and HPC computing; emerging memory technologies; interconnects; design and analysis of security protocols; safe and fault tolerant systems; exploiting parallelism with vector, SIMD, throughput, and multi-core architecture; machine learning and computer vision; robotics; and data analytics.

Job Requirements

What will I be accountable for?
You will specifically be responsible for:
Identifying key machine learning technologies, and determining how they’ll impact Arm products and partners
Developing and adapting machine learning algorithms for energy constrained mobile and wearable devices
Collaborating with Arm product teams to influence new hardware and software IP
Advancing the state of the art in areas such as natural language processing, computer vision, sensor fusion, object tracking, and motion planning
Prototyping hardware and software solutions
Attending conferences and collaborating with academic partners
Reporting and presenting experimental results and research to internal and external organizations
What skills, experience, and qualifications do I need?
BS, MS or PhD in computer science, mathematics, physics, electrical engineering or related discipline
Proven understanding of machine learning/deep learning.
Deep understanding of CPU and GPU micro-architecture
Strong CPU/GPU programming skills
Scientific, data-driven, objective mindset
Some familiarity with computer architecture and hardware design is desirable
What are the desired behaviors for this role?
At Arm, we are proud to have a set of behaviors that reflect our unique culture and guide our decisions, defining how we work together to defy ordinary and shape extraordinary. These behaviors are assessed as part of the recruitment process:
Delivery of results – You demonstrate a can-do attitude and you drive to overcome obstacles, acting with a sense of urgency because you’re passionate about what you do.
Partner / customer focus – Your tendency to put your partners and customers first in all that you do by understanding their needs and striving to achieve win-win solutions.
Creativity / innovation – Possessing curiosity and a passion for driving continuous improvement through spotting opportunities and seeking the views of others.
Collaboration / communication – Your ability to forge lasting relationships which are built upon mutual trust, open communication and sharing of information and success.
Personal impact / influence – You listen to different perspectives, evaluate, persuade and carefully shape your work to deliver truly impactful results.
Team / personal development – You take time to drive your own development, while also encouraging team members and partners to do the same.",31,Boston,MA
Associate Principal Operations Research Scientist,Wayfair,"Wayfair is looking for an experienced operations research professional to tackle large scale and complex optimization problems with immediate impact on our operations. We seek an individual who can think through creative strategies to develop and execute solutions to keep Wayfair efficient as we scale.

The successful candidate will lead a team of operations research analysts and engineers tackling large-scale and real-time optimization problems in our supply chain and beyond, including:
Network design
Transportation
Inventory management
Warehouse operations
Call center scheduling
We are looking for an individual capable of thinking outside of the box about operational challenges, who wants to try new approaches and challenge traditional models – all while focusing on bringing a best-in-class experience to our global customers.

Responsibilities include:
Working cross-functionally with business stakeholders to determine requirements
Coordinating with other engineering teams
Developing production software tools
Furthermore, we anticipate this individual will think strategically to identify new areas for future improvements in Wayfair’s operations.

We seek an individual with the following:
Ph.D or M.S. in Operations Research, Statistics, Applied Mathematics, Industrial Engineering, Computer Science or a related field
6+ years professional experience in Operations Research or a similar role
Strong knowledge of linear programming and mixed-integer programming
Ability to tailor communications to level and background of the audience
Experience implementing models with AMPL, R, Matlab, or similar
Experience using Python, C++, Java, or similar
Experience with relational databases and SQL
Experience working with large real-world data sets
The ability to define and structure an approach to loosely-defined problems
Software development experience
Supply chain experience

About Wayfair Inc.
Wayfair believes everyone should live in a home they love. Through technology and innovation, Wayfair makes it possible for shoppers to quickly and easily find exactly what they want from a selection of more than 10 million items across home furnishings, décor, home improvement, housewares and more. Committed to delighting its customers every step of the way, Wayfair is reinventing the way people shop for their homes - from product discovery to final delivery.
The Wayfair family of sites includes:
Wayfair, an online destination for all things home
Joss &amp; Main, where beautiful furniture and finds meet irresistible savings
AllModern, unbelievable prices on everything modern
Birch Lane, a collection of classic furnishings and timeless home décor
Perigold, unparalleled access to the finest home décor and furnishings
Wayfair generated $5.2 billion in net revenue for the twelve months ended March 31, 2018. Headquartered in Boston, Massachusetts with operations throughout North America and Europe, the company employs more than 8,700 people.",344,Boston,MA
Clinical Research Coordinator,Massachusetts General Hospital(MGH),"Investigators in the MGH Departments of Neurosurgery and Neurology led by Dr. Kevin Staley are seeking a college graduate for a full-time clinical research coordinator position investigating the neurobiological basis of post-traumatic epilepsy.

The ideal candidate must be mature and responsible with excellent organizational, as well as oral and written communication skills. You must be able to work independently in a dynamic environment, feel comfortable working with clinicians, scientists, patients and patient families, and seek assistance when appropriate.

Under general direction of the Principal Investigator, this individual is responsible and accountable for assisting in the implementation of research protocols using scientific methods, including working with physicians, clinical nurses and patients to identify and recruit eligible patients, obtain all necessary approvals and informed consent forms, screen and enroll patients into the study, ensure bio specimens are collected on time, and act as a liaison between the patient and other members of the team regarding the research protocol. Responsible for database development and data entry of patient data for the study. Assists with IRB development, maintenance, and amendments. Works closely with the other sites at University of Massachusetts and Yale. Logs all applicable common data elements as requested, archives MRI’s, and coordinates information and supply transfer as necessary to complete study elements at multiple sites. Summarizes data and information for review and analysis by the investigators and project team. The CRC will gain invaluable experience in the field of neurology, brain trauma, epilepsy, patient-oriented research, and clinical medicine in an academic clinical research setting.

PRINCIPAL DUTIES AND RESPONSIBILITIES:

Working with the PI on the coordination of a multi-institutional research study.
Protocol feasibility, subject eligibility assessment, study-specific procedures, handling and processing bio specimens, case report form maintenance, and protocol compliance.
Interactions with physicians, clinical research associates, patients and others.
Maintaining accurate, up-to-date and organized study records. Data entry, assessment, and basic quantitative analyses.
Assist PI and other scientists on the preparation of IRB applications and amendments.
Attends workshops, courses, and seminars to further own knowledge of science as well as study management. Consulting with other researchers and technicians to exchange information.
After training, working with other study members to perform study in the neurointensive care unit, the operation room or patient units.
Works with physicians, clinical nurses and patients to identify and screen appropriate candidates for protocols and evaluates criteria for inclusion/exclusion per study protocol. Obtains all necessary approvals, patient written informed consent, and demographic information required for patient enrollment
Contacts patients and/or families via written, telephone, or face to face communication to explaining the nature of the study.
Arranges, coordinates, and collects bio specimens during the patient’s hospital stay. Processes, stores, and coordinates shipping of samples for analysis.
Collects and archives patient MRI’s and Common Data Elements.
Assisting the PI and other scientists to develop and implement systems and protocols to manage daily operations of study while meeting enrollment and data collection targets and adhering to human protection, good clinical practice guidelines, and handling of highly sensitive content.
Assisting the PI and other scientists in brainstorming at all points of the research process and helping articulate new avenues of scientific inquiry. Is expected to make substantial intellectual contributions to the research process.
Helping the PI to prepare manuscripts and grant progress reports for submission including data collection and analysis, table and figure creation, reviewing the literature, writing and editing drafts, and other related duties as requested.
Maintaining an organized working environment. Demonstrating the ability to work independently and collaboratively.
Contributing to the teamwork within and between departments and the other study sites at University of Massachusetts and Yale.
Travel to other study sites (Amherst, MA and New Haven, CT) occasionally to coordinate the study at these sites.
Be flexible to screen for patients on some weekends and some holidays.

Qualifications

QUALIFICATIONS:


A BA or BS (required) and a background in university level science courses would be helpful.


SKILLS/ ABILITIES/ COMPETENCIES REQUIRED:


A strong background in writing and research skills and the ability to work independently. Excellent organizational and communication skills, and the ability to keep meticulous records are required. Prior experience in clinical research and IRB preparation is preferred.
Knowledge of Microsoft Office and the ability to learn individual protocol-specific software and web-based systems are strongly preferred.
Comfort interacting with potentially sensitive parents during general interactions for scheduling and conducting research sessions.
Good command of the English language, including medical and scientific terminology


WORKING CONDITIONS:

Duties will be performed in patient areas in the hospital, research laboratory, and office setting.

SUPERVISORY RESPONSIBILITY:

None.

FISCAL RESPONSIBILITY:

No direct fiscal responsibilities; however, is responsible for prudent fiscal management of program resources (e.g. supplies, etc.). Reviews study funds each month to assess proper reimbursement for submitted paperwork. Works with senior grant administrator for specific budget issues.
 

EEO Statement
Massachusetts General Hospital is an Equal Opportunity Employer. By embracing diverse skills, perspectives and ideas, we choose to lead. Applications from protected veterans and individuals with disabilities are strongly encouraged.

Primary Location
: MA-Boston-MGH Main Campus
Work Locations
:
MGH Main Campus
55 Fruit Street
 Boston 02114
Job
: Clinical
Organization
: Massachusetts General Hospital(MGH)
Schedule
: Full-time
Standard Hours : 40
Shift
: Day Job
Employee Status
: Regular
Recruiting Department : MGH Neurosurgery
Job Posting
: Jun 18, 2018",838,Boston,MA
Quality/Compliance Nurse Mgr.,Massachusetts General Hospital(MGH),"About the Fireman Vascular Center
The Fireman Vascular Center is one of the only vascular centers in the country with specialists in every area of vascular disease. Clinicians from seven specialties diagnose and treat the full range of vascular conditions, create new treatments and educate the next generation of medical leaders.
About the Department of Neurology

Guided by the needs of our patients, the mission of the Department of Neurology is to be the pre-eminent academic neurology department in the US by providing outstanding clinical care while rapidly discovering new treatments to reduce and eliminate the devastating impact of neurological disorders; training the very best neurologists and scientists of the future; and improving the health and well-being of the diverse communities we serve. Our core values are excellence in service, innovation, education, and neuroscience research in the field of neurology.

Comprehensive Stroke Center Quality and Compliance Nurse Manager
The Quality and Compliance Nurse Manager prepares MGH for the submission of the Joint Commission Comprehensive Stroke Center (CSC) application and the initial site visit. The initial phases of this role will include recruiting and motivating a team to support successful certification. Certification entails data collection and analysis, chart review, guideline, policy and procedure development and implementation, and coordinating an onsite visit by the Joint Commission. Some team members will be direct reports, but success will also require collaboration across teams. Once CSC certification is achieved, the Quality and Compliance Nurse Manager provides overall program direction and coordination of the Comprehensive Stroke Center program, quality metrics and certification. The Quality and Compliance Nurse Manager ensures compliance with all policies and regulatory requirements, maintains protocol documents and data reporting required for ongoing certification, ensures coordination with the DPH, Core Measures and Meaningful Use reporting requirements, provides educational content and training to other individuals in the CSC, is a resource to nurses and other allied health personnel in the CSC and to colleagues at affiliated primary stroke center and acute stroke ready referral hospitals.







PRINCIPAL DUTIES AND RESPONSIBILITIES:


Prepares institution for CSC application submission and coordination of initial site visit; oversees preparation of all required documentation and supporting materials. The incumbent will work closely with colleagues in the Fireman Vascular Center, Neurology, and other departments to ensure compliance with Joint Commission requirements. In this capacity, they will help collect necessary data and documents that support our certification. -
Provides overall program direction and coordination of CSC program; directs all efforts towards continued CSC certification
Collaborates with Medical Director and other team members in the development of policies, procedures, protocols, guidelines and/or projects required for the initial development and ongoing certification of the CSC program; ensures all assignments are completed
Establishes annual program goals, in collaboration with the Medical Director; including development, implementation, and evaluation of strategies to achieve annual goals
Interviews, recruits and hires direct reports. Participates in the interviewing and hiring decisions for other staff as appropriate and in collaboration with leadership. Conducts annual performance evaluations for direct reports and as appropriate and materially contributes to performance evaluations for other workforce in collaboration with leadership peers. Implements corrective action as needed in consultation with leadership and HR as indicated. Conducts clinical competency testing as needed.
Maintains knowledge of and ensures compliance with all policies and regulatory requirements
Ensures all Joint Commission standards are met and ensures coordination with DPH, Core Measures and Meaningful Use reporting requirements
Oversees quality outcome measures; partners with team members in data collection, analysis, reporting and presentations
Monitors progress against standards; identifies high risk issues and trends and implements interventions to achieve quality outcomes. Files safety reports as appropriate and participates in root cause analyses as needed. Encourages an environment of safety. Serves as a resource to colleagues within the CSC and to colleagues at affiliated primary stroke center and acute stroke ready referral hospitals
Serves as the CSC liaison to the hospital’s physicians, clinical and administrative team, and the community
Partners closely with multidisciplinary stroke team to optimize patient outcomes and evidenced based practice
Identifies educational needs and provides comprehensive educational content and training for internal and external physicians, nurses, other allied health professionals and the community
Qualifications
SKILLS &amp; COMPETENCIES REQUIRED:

Excellent interpersonal and written and verbal communication skills
Ability to work independently, as well as, as a member of a multidisciplinary team.
Ability to take initiative and proactively identify problems and propose solutions
High degree of professionalism, discretion, and confidentiality
Experience coordinating programs and managing working relationships in a matrix organization
Ability to manage multiple projects simultaneously, set priorities and provide updates
Demonstrated ability to work directly with individuals at all levels of the organization
Proven track record of exercising good judgment and understanding of when to escalate issues
Demonstrated knowledge of performance improvement methods, including statistical concepts and applications; understand how to analyze and present data
Ability to work in a fast-paced, changing environment
Demonstrated knowledge of working with regulatory agencies
Familiarity with healthcare data analytical techniques





LICENSES, CERTIFICATIONS, and/or REGISTRATIONS:
Required: Current licensure as a Registered Nurse in the Commonwealth of Massachusetts
Preferred: Advanced Practice Provider such as Clinical Nurse Specialist or Nurse Practitioner


EDUCATION:
Bacherlor's degree required.
Master's degree preferred.
Primary Location
: MA-Boston-MGH Main Campus
Work Locations
:
MGH Main Campus
55 Fruit Street
 Boston 02114
Job
: Nursing
Organization
: Massachusetts General Hospital(MGH)
Schedule
: Full-time
Standard Hours : 40
Shift
: Day Job
Employee Status
: Regular
Recruiting Department : MGH Neurology
Job Posting
: Jul 31, 2018",838,Boston,MA
Quantitative Equity Research Analyst,State Street,"Intermediate Quantitative Research Analyst, Active Quantitative Equity

Company: State Street Global Advisors (SSGA)
Location: Boston

State Street Global Advisors is the investment management arm of State Street Corporation and a global leader in institutional asset management. With four decades of experience meeting complex client needs, our market-tested team manages over $2.7 trillion and we are now the third largest asset manager in the world.

The Active Quantitative Equity (AQE) team manages approximately $35 billion in a range of strategies across global equity markets over a broad active risk spectrum. We are active managers, focused on solving investment problems. Built by a team with decades of experience, the stock-selection model that informs all of our solutions contain our best investment insights — carefully scrutinized, extensively tested and grounded in a strong economic rationale. Quantitative research that combines creative investment insights with rigorous statistical testing is an integral part of AQE’s investment process.

We are seeking a quantitative research analyst with extraordinary analytical skills and background. You will have an ability to contribute ideas to improve our investment process, lead and execute research projects as well as contribute to our state-of-the-art research/production platform.
Job Responsibilities:
Generate ideas for investment process innovation and improvements with key focus in alpha generation and portfolio construction.
Execute research projects including interpreting, presenting and implementing results.
Contribute to maintaining and improving the research/production computing platform.
Explore and evaluate alternative data sources and new modeling techniques to solve investment problems better.

Qualifications:
Advanced degree (PhD/MS or equivalent) in a quantitative discipline such as computer science, mathematics, statistics, physics or engineering.
Minimum 2 years of work experience in quantitative finance or data science.
Great analytical skills with solid knowledge in statistics.
Strong problem solving capabilities with attention to details.
Excellent coding skills with experience in R, Python and/or SQL. Experience with distributed computing is a plus.
Strong working knowledge of theoretical and practical concepts in machine learning.
Experience working with a large amount of structured/unstructured data.

Across the globe, institutional investors rely on us to help them manage risk, respond to challenges, and drive performance and profitability. We keep our clients at the heart of everything we do, and smart, engaged employees are essential to our continued success.

Our promise to maintain an environment where every employee feels valued and able to meet their full potential infuses our company values. It’s also part of our commitment to inclusion, development and engagement, and corporate social responsibility. You’ll have tools to help balance your professional and personal life, paid volunteer days, and access to employee networks that help you stay connected to what matters to you. Join us.

State Street is an Affirmative Action/ Equal Opportunity Employer/Vet/Disability.",1920,Boston,MA
"Quantitative Analyst,VP",State Street,"Overview

The incumbent will be a member of the Risk Analytics team within Enterprise Risk Management. The team provides support in the development, deployment, and documentation of tools and methods for assessing various aspects of market, credit, operational, and liquidity risk to State Street. The team’s work is focused on building models to support State Street’s application of the advanced internal ratings-based (AIRB) approach to risk measurement under Basel III, ALLL, and CCAR. Application of the AIRB approach and CCAR will provide estimates of State Street’s capital requirements. The capital estimates support a variety of management objectives including developing regulatory reports, improving risk management, enhancing risk reporting, and allocating capital to business units.
Multiple positions at AVP and VP level are available at Risk Analytics. Those positions are focused on developing and documenting estimates of the probability of default (PD), loss given default (LGD), and exposure at default (EAD), Operational risk estimation for State Street’s counterparties for A-IRB and CCAR. The incumbent will provide quantitative support to the team which will include others with credit expertise, but not necessarily quantitative modeling expertise.
Responsibilities

Developing statistical models to quantify the value of the credit parameters for Basel III and CCAR
Performing backtesting, sensitivity testing, and stress testing of credit parameters
Critically reviewing U.S. Basel III, CCAR and related regulations and developing methods to estimate the value of the credit parameters that meet regulatory requirements
As required, review non-U.S. banking regulations, and adjust the value of credit parameters or create an alternative set of credit parameters that meet non-U.S. regulatory requirements
Managing large and complex credit data sets using statistical tools and database technologies
Conduct econometric and statistical analysis of credit data
Utilize external market data, e.g., credit spreads, to refine and inform the value of credit parameters for different types of counterparties and exposures
Working with credit professionals to gain an understanding of credit markets and to reflect that understanding in the models and methods used to set the value of the credit parameters
Writing technical documentation
Presenting results of work to senior management
Working with the information technology group to document business requirements and to ensure methodologies are accurately implemented in production systems
Completing ad hoc assignments in the general areas of credit risk management and measurement
Qualifications
Advanced degree in finance, economics, statistics, or a related field and 3 + years for VP and 1+ year for AVP of relevant work experience (relevant PhD degree can substitute for some or all of the work experience)
In-depth understanding of multivariate statistics
Experience modeling credit risk for financial institutions
Knowledge of a statistical or analytical modeling language such as SAS, Matlab, Stata, or S+
Experience working with large and complex data sets
Strong written and verbal communication skills
Good project management skills and a demonstrated ability to work independently on complex projects
Knowledge of Basel III and CCAR regulations, with particular emphasis on credit-related issues and credit modeling methodologies is desirable",1920,Boston,MA
Scientific Services Specialist,PerkinElmer,"Job Purpose:
The Facility requires Supplier to provide lab support services to support routine work across programs, increasing efficiency and allow senior scientists in Chemistry department to focus on more complex issues and formulation design. Any Supplier personnel performing the services hereunder will have a chemistry degree (or equivalent) and be trained in house by the department’s specific techniques and workflows. The services will be performed during normal business hours from Monday to Friday for a total of 40 hours per week. The individual will support the department by performing the following activities:

Responsibilities:
Routine instrument set up (empty sample tray from the night before); Flush lines; daily system care and maintained instruments pumps and valves to ensure no unexpected shutdown
Buffer preparation for non-standard instruments (e.g. ion-pairing)
Respond to end-user repair calls for OA-LCMS
Troubleshoot and repair simple issues such as leaks or clogs
Call in and follow up with OneSource for more complex issues
Routine upkeep of OA-LCMS instruments
Clean ESI source and run standards monthly
Provide assistance with preparation of samples and setup of data acquisition for routine analysis
Perform weekly Prodigy cryogen fills
Daily sample clean up on the two walk-up NMR systems

Qualifications, Skills &amp; Experience
Bachelor’s degree in Biology or equivalent
Strong organizational skills.
Well-developed written and oral communication capabilities.",250,Boston,MA
Lead Operations Research Scientist,Wayfair,"Wayfair is looking for an experienced operations research professional to tackle large scale and complex optimization problems with immediate impact on our operations. We seek an individual who can think through creative strategies to develop and execute solutions to keep Wayfair efficient as we scale.

The successful candidate will lead a team of operations research analysts and engineers tackling large-scale and real-time optimization problems in our supply chain and beyond, including:
Network design
Transportation
Inventory management
Warehouse operations
Call center scheduling
We are looking for an individual capable of thinking outside of the box about operational challenges, who wants to try new approaches and challenge traditional models – all while focusing on bringing a best-in-class experience to our global customers.

Responsibilities include:
Working cross-functionally with business stakeholders to determine requirements
Coordinating with other engineering teams
Developing production software tools
Furthermore, we anticipate this individual will think strategically to identify new areas for future improvements in Wayfair’s operations.

We seek an individual with the following:
Ph.D or M.S. in Operations Research, Statistics, Applied Mathematics, Industrial Engineering, Computer Science or a related field
4+ years professional experience in Operations Research or a similar role
Strong knowledge of linear programming and mixed-integer programming
Ability to tailor communications to level and background of the audience
Experience implementing models with AMPL, R, Matlab, or similar
Experience using Python, C++, Java, or similar
Experience with relational databases and SQL
Experience working with large real-world data sets
The ability to define and structure an approach to loosely-defined problems
Software development experience
Supply chain experience
About Wayfair Inc.
Wayfair believes everyone should live in a home they love. Through technology and innovation, Wayfair makes it possible for shoppers to quickly and easily find exactly what they want from a selection of more than 10 million items across home furnishings, décor, home improvement, housewares and more. Committed to delighting its customers every step of the way, Wayfair is reinventing the way people shop for their homes - from product discovery to final delivery.
The Wayfair family of sites includes:
Wayfair, an online destination for all things home
Joss &amp; Main, where beautiful furniture and finds meet irresistible savings
AllModern, unbelievable prices on everything modern
Birch Lane, a collection of classic furnishings and timeless home décor
Perigold, unparalleled access to the finest home décor and furnishings
Wayfair generated $5.2 billion in net revenue for the twelve months ended March 31, 2018. Headquartered in Boston, Massachusetts with operations throughout North America and Europe, the company employs more than 8,700 people.",344,Boston,MA
Machine Learning Software Engineer — Applied Research,Twitter,"Who we are

Twitter users generate many terabytes of data every single day; Twitter engineers run hundreds of experiments; Twitter data scientists craft increasingly sophisticated models of users and content.

The Applied Research team at Twitter works to measure and understand the satisfaction and motivations of our users. Applied Research is part of the larger Analytics team at Twitter. From modeling individual user behavior to characterizing user populations, our work powers core systems at Twitter and helps inform product strategy. To develop a deep understanding of our users, we use machine learning, statistical modeling, data mining, time series modeling, and many other analytical techniques; we build prototypes; and we perform experiments — all applied at the scale of Twitter.

What you’ll do

You will work as an integral part of our data science team to develop and implement models, algorithms, and systems that can be applied at scale to Twitter data. Examples of the kind of work you might do include building deep neural networks to classify Twitter users and content, large-scale graph and matrix factorization, recommendation algorithms, or time-series models on user log data. You’ll work with both engineers and data scientists on the team and elsewhere at Twitter.

Who you are:

You probably have

Several years of experience working in machine learning
An advanced degree (masters, PhD) in machine learning
Strong interest and experience in machine learning, including deep learning, building classifiers, natural language processing (NLP), pattern recognition algorithms, and recommender systems
Experience with large datasets and modern data processing systems like Hadoop, Spark, Hive, and Presto
Good communication skills, a pragmatic approach to problem solving, and a strong quantitative background
Some experience with software engineering best practices (e.g., unit testing, code reviews, design documentation)
Knowledgeable of core CS concepts such as data structures, algorithms, and optimization

Requirements

Bachelors degree or higher in Computer Science or related field with coursework in machine learning (or equivalent work experience)
Strong software development experience (e.g., in Scala, Java, C++, etc.)
Strong machine learning/data analysis experience (e.g., in Python, R, Matlab, etc.)
3+ years of educational or work experience in machine learning, artificial intelligence, statistics, or related fields

We are committed to an inclusive and diverse Twitter. Twitter is an equal opportunity employer. We do not discriminate based on race, color, ethnicity, ancestry, national origin, religion, sex, gender, gender identity, gender expression, sexual orientation, age, disability, veteran status, genetic information, marital status or any legally protected status.

San Francisco applicants: Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.",56,Boston,MA
Senior Software Engineer,TetraScience,"TetraScience is a cloud-based, data integration company that provides the scientific community with centralized, standardized and actionable scientific data to fuel innovation, facilitate collaboration, and accelerate discovery. The TetraScience Data Integration Platform automatically integrates, normalizes, and validates data from heterogeneous sources, thereby creating a centralized set of scientific data from which scientists can draw conclusions, gather insights, and take actions. These data sources range from scientific instruments, software systems and contract researching / manufacturing organizations.
We looking for some Senior Software Engineers to join the team who love to build, who share our interest in facilitating scientific advancement, and who wants to be an early and significant contributor to such an ambitious and impactful venture.
How you’ll contribute:
Develop and implement the TetraScience Data Integration Platform, which includes multiple modules such as Data Lake, Data Integrations, Data Hub, Data Connectors and Data Agent.
Work closely with Product and Delivery team in a lean and agile environment.
Contribute and build to a strong engineering culture that emphasizes velocity, getting-stuff-done and constant learning.
Work closely with the Solution team to advice the solutions and architectures proposed to clients.
Requirements
Basic Requirements:
5+ years of experience developing and launching products in a Cloud and/or Enterprise environment.
Proficient with modern web technologies/frameworks (think Node.JS/Ruby/Python and Angular/React)
Proficient with PostgreSQL and ElasticSearch Data stores
Experience with Service-Oriented-Architecture (SOA) and MicroServices.
Have some DevOps experience in deployment, QA, security, and AWS.
Fast and efficient learner and worker
Have an entrepreneurial spirit and bring ideas to the table.
Strong communication skills.
Nice to Have:
Expert in Node.JS and/or React
ElasticSearch experience
Prior experience in a scientific/laboratory setting
Docker/Container expertise.
Informatics experience
Benefits
Competitive salary and equity and in a fast growing company
Comprehensive Medical, Dental and Vision coverage
401k
Unlimited PTO
Generous Parental Leave (maternity, paternity) Policy
Catered team lunch every Wednesday and a variety of free snacks
Convenient location in Downtown Crossing area; close to the T and South Station
Open office environment for maximum collaboration",2,Boston,MA
RESEARCH SCIENTIST / 40 / DAY / BWH - NEUROLOGY,Brigham & Women's Hospital(BWH),"The Computational Scientist will join the laboratory of Dr. Vijay K. Kuchroo at The Evergrande Center for Immunologic Diseases and Ann Romney Center for Neurologic Diseases at Brigham and Women’s Hospital (BWH). The Computational Scientist will support lab members and associated faculty with computational analyses of high-throughput data. Working knowledge of Immunology and disease models a plus.


PRINCIPAL DUTIES AND RESPONSIBILITIES:

1. Formulate analytic strategies and perform computational analysis of datasets generated in the laboratory (eg. RNA-seq, ChIP seq), choosing optimal software and programming language, and developing novel statistical tools and algorithms when needed.
2. Strategize with lab members to design experiments that best allow exploitation and integration of experimental data.
3. Choose, implement and evolve the software tools and data-processing pipelines used in the laboratory, harnessing resources open to the laboratoy, on the Longwood campus, or linked institutions.
4. Coordinate with BWH IT staff for access to high-performance computer resources and for the deployment and management of data analysis pipelines, database, and web servers.
5. Special projects as assigned.
Qualifications
QUALIFICATIONS:

1. PhD or equivalent
2. 3-5 years experience in Systems Immunology or Computational Biology


SKILLS/ ABILITIES/ COMPETENCIES REQUIRED:

1. Have a proven track record and enthusiasm for working in a dynamic high performance research team environment;
2. Strong team player and leadership skills; encourage and value collaboration and input from all team members.
3. Ability to take full responsibility for projects, and harness the needed resources.
WORKING CONDITIONS:

Normal laboratory environment.
Radioactive and hazardous materials are used in some of the experiments conducted.
Animal/human tissue will be used.
 EEO Statement

EEO Statement:

Brigham and Women’s Hospital is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, creed, sex, sexual orientation, gender identity, national origin, ancestry, age, veteran status, disability unrelated to job requirements, genetic information, military service, or other protected status.


Primary Location
: MA-Boston-BWH Longwood Medical Area
Work Locations
:
BWH Longwood Medical Area
75 Francis Street
 Boston 02115
Job
: Technician/Technologist/Scientist
Organization
: Brigham &amp; Women's Hospital(BWH)
Schedule
: Full-time
Standard Hours : 40
Shift
: Day Job
Employee Status
: Regular
Recruiting Department : BWH Neurology
Job Posting
: Jun 11, 2018",785,Boston,MA
"Postdoctoral Researcher in Education Evaluation (FT, 40hrs, Days)",Boston Medical Center (BMC),"The Department of Medicine Education Evaluation Core at Boston Medical Center (affiliate of BU School of Medicine) is seeking a two-year postdoctoral research associate. This scholar will provide expert consultation to the Department of Medicine’s clinician-educators on a variety of education evaluation projects. The extent of consultation will vary depending on the nature of project. There will be ample opportunity to collaborate with faculty on research papers as well as lead independent projects if desired. This scholar will also provide support to the Core’s director on day-to-day Core activities including but not limited to designing and conducting faculty workshops, developing web-based resources and facilitating meetings with individual research teams.

Essential Responsibilities/Duties:
- Meet with clinician- and scientist-educators on a regular basis to provide guidance regarding study design, data analysis, manuscript preparation and manuscript submissionDesign original data collection instruments for use in education researchConduct analyses in SPSS or RConduct analyses in NVIVOAssist faculty with manuscript preparation and submission
- Design and implement trainings and workshop series for clinician- and scientist-educatorsOrganize educational events for faculty and residents, such as journal clubs or speaker seriesMust adhere to all of BMC’s RESPECT behavioral standards.

The role of the postdoc will require flexibility in scope of duties and responsibilities, and therefore the responsibilities listed above should not be considered indicative, not exhaustive.

Job Requirements:
EDUCATION: Ph.D. in psychology, sociology, education or related field (in hand or anticipated Summer of 2018) CERTIFICATES, LICENSES, REGISTRATIONS REQUIRED: None.
EXPERIENCE:Previous experience evaluating educational programs and interventionsPrevious experience providing research consultations preferredStrong background in mixed methods research preferred
KNOWLEDGE AND SKILLS:Understanding of how to effectively manage qualitative and quantitative data setsProven ability to juggle multiple projects simultaneouslyStrong interpersonal skillsInterest in health professions educationAbility to communicate effectively in oral presentationsKnowledge of WordPress is a plus, but not a requirement",427,Boston,MA
